ID,Team,Games,Event,Medal
465,Australia,2016 Summer,Swimming Mens 4 x 100 metres Freestyle Relay,Bronze
495,Egypt,2012 Summer,Fencing Mens Foil Individual,Silver
507,Hungary,1988 Summer,Canoeing Mens Kayak Doubles 500 metres,Bronze
507,Hungary,1988 Summer,Canoeing Mens Kayak Fours 1000 metres,Gold
507,Hungary,1992 Summer,Canoeing Mens Kayak Fours 1000 metres,Silver
509,Great Britain,1980 Summer,Swimming Mens 4 x 100 metres Medley Relay,Bronze
514,Sweden,2004 Summer,Wrestling Mens Light-Heavyweight Greco-Roman,Silver
519,Great Britain,1924 Summer,Athletics Mens 100 metres,Gold
519,Great Britain,1924 Summer,Athletics Mens 4 x 100 metres Relay,Silver
521,Norway,1912 Summer,Gymnastics Mens Team All-Around Free System,Gold
527,Sweden,1920 Summer,Athletics Mens Long Jump,Bronze
529,Sweden,1928 Winter,Ice Hockey Mens Ice Hockey,Silver
543,Russia,2004 Summer,Volleyball Mens Volleyball,Bronze
547,Soviet Union,1964 Summer,Volleyball Womens Volleyball,Silver
548,Russia,2006 Winter,Speed Skating Womens Team Pursuit (6 laps),Bronze
576,Spain,2016 Summer,Basketball Mens Basketball,Bronze
580,Russia,2008 Summer,Basketball Womens Basketball,Bronze
582,Soviet Union,1980 Summer,Wrestling Mens Lightweight Freestyle,Gold
583,France,2004 Summer,Cycling Mens Mountainbike Cross-Country,Gold
583,France,2008 Summer,Cycling Mens Mountainbike Cross-Country,Gold
608,Jordan,2016 Summer,Taekwondo Mens Featherweight,Gold
610,Japan,1964 Summer,Gymnastics Womens Team All-Around,Bronze
618,Soviet Union,1980 Summer,Fencing Mens epee Team,Bronze
619,Soviet Union,1980 Summer,Wrestling Mens Featherweight Freestyle,Gold
627,Romania,2008 Summer,Gymnastics Womens Team All-Around,Bronze
629,France,2012 Summer,Handball Mens Handball,Gold
634,Switzerland,1988 Winter,Alpine Skiing Mens Combined,Bronze
639,Spain,1920 Summer,Football Mens Football,Silver
646,Puerto Rico,1992 Summer,Boxing Mens Welterweight,Bronze
654,Mexico,1984 Summer,Wrestling Mens Flyweight Greco-Roman,Silver
669,Ghana,1992 Summer,Football Mens Football,Bronze
670,Switzerland,1984 Summer,Cycling Mens 100 kilometres Team Time Trial,Silver
673,Morocco,1988 Summer,Boxing Mens Featherweight,Bronze
674,Morocco,1992 Summer,Boxing Mens Bantamweight,Bronze
680,Soviet Union,1968 Winter,Cross Country Skiing Womens 3 x 5 kilometres Relay,Bronze
690,Netherlands,2012 Summer,Rowing Womens Coxed Eights,Bronze
690,Netherlands,2016 Summer,Rowing Womens Quadruple Sculls,Silver
697,Sweden,1920 Summer,Gymnastics Mens Team All-Around Swedish System,Gold
698,New Zealand,1976 Summer,Hockey Mens Hockey,Gold
699,United States,1920 Summer,Wrestling Mens Featherweight Freestyle,Gold
702,Germany,2002 Winter,Nordic Combined Mens Team,Silver
702,Germany,2002 Winter,Nordic Combined Mens Sprint,Silver
702,Germany,2006 Winter,Nordic Combined Mens Team,Silver
705,Switzerland-1,1992 Winter,Bobsleigh Mens Two,Gold
705,Switzerland-1,1992 Winter,Bobsleigh Mens Four,Bronze
705,Switzerland-1,1994 Winter,Bobsleigh Mens Two,Gold
705,Switzerland-1,1994 Winter,Bobsleigh Mens Four,Silver
706,Switzerland-2,1994 Winter,Bobsleigh Mens Two,Silver
716,Argentina,2008 Summer,Football Mens Football,Gold
723,Cuba,2008 Summer,Boxing Mens Heavyweight,Bronze
727,Uruguay,1952 Summer,Basketball Mens Basketball,Bronze
745,Poland,1980 Summer,Boxing Mens Lightweight,Bronze
762,United States,1936 Summer,Rowing Mens Coxed Eights,Gold
766,Czechoslovakia,1976 Summer,Modern Pentathlon Mens Team,Silver
772,Canada,2006 Winter,Curling Mens Curling,Gold
775,Germany,1936 Summer,Fencing Mens Foil Team,Bronze
777,France,1948 Summer,Cycling Mens Team Pursuit 4000 metres,Gold
785,Poland,1992 Summer,Football Mens Football,Silver
807,United States,1912 Summer,Athletics Mens Standing High Jump,Silver
807,United States,1912 Summer,Athletics Mens Standing Long Jump,Bronze
813,United States,1904 Summer,Swimming Mens Plunge For Distance,Silver
818,United States,1912 Summer,Shooting Mens Military Rifle 200 400 500 and 600 metres Team,Gold
830,Great Britain,1980 Summer,Judo Mens Lightweight,Silver
830,Great Britain,1984 Summer,Judo Mens Half-Middleweight,Silver
832,Great Britain,2012 Summer,Boxing Womens Flyweight,Gold
832,Great Britain,2016 Summer,Boxing Womens Flyweight,Gold
836,United States,1912 Summer,Athletics Mens Standing High Jump,Gold
836,United States,1912 Summer,Athletics Mens Standing Long Jump,Silver
837,United States,2016 Summer,Volleyball Womens Volleyball,Bronze
840,Great Britain,2014 Winter,Curling Womens Curling,Bronze
846,New Zealand,2008 Summer,Athletics Womens Shot Put,Gold
846,New Zealand,2012 Summer,Athletics Womens Shot Put,Gold
846,New Zealand,2016 Summer,Athletics Womens Shot Put,Silver
849,Germany,2012 Summer,Rowing Mens Coxed Eights,Gold
850,Germany,1936 Summer,Rowing Mens Coxed Pairs,Gold
851,Poland,1960 Summer,Boxing Mens Featherweight,Silver
882,Ghana,1992 Summer,Football Mens Football,Bronze
884,Switzerland,1920 Summer,Shooting Mens Military Rifle 300 metres and 600 metres Prone Team,Bronze
896,Nigeria,2008 Summer,Football Mens Football,Silver
908,Nigeria,2008 Summer,Football Mens Football,Silver
918,Brazil,1984 Summer,Football Mens Football,Silver
918,Brazil,1988 Summer,Football Mens Football,Silver
923,Nigeria,1992 Summer,Athletics Mens 4 x 100 metres Relay,Silver
925,Brazil,2012 Summer,Volleyball Womens Volleyball,Gold
953,France-1,1992 Summer,Canoeing Mens Canadian Doubles Slalom,Bronze
953,France-1,1996 Summer,Canoeing Mens Canadian Doubles Slalom,Gold
956,Germany-2,2010 Winter,Bobsleigh Mens Two,Silver
957,Ghana,1992 Summer,Football Mens Football,Bronze
962,United States,1952 Summer,Boxing Mens Light-Welterweight,Gold
963,United States,1996 Summer,Athletics Mens 400 metres Hurdles,Gold
964,Great Britain,1948 Summer,Hockey Mens Hockey,Silver
967,Germany,1960 Summer,Cycling Mens 100 kilometres Team Time Trial,Silver
968,Austria,1912 Summer,Swimming Womens 4 x 100 metres Freestyle Relay,Bronze
973,Sweden,1936 Summer,Equestrianism Mens Dressage Team,Bronze
974,Sweden,1912 Summer,Equestrianism Mens Three-Day Event Team,Gold
975,Sweden,1908 Summer,Tennis Womens Singles Covered Courts,Bronze
977,Sweden,1912 Summer,Diving Mens Platform,Gold
977,Sweden,1912 Summer,Diving Mens Plain High,Gold
977,Sweden,1920 Summer,Diving Mens Platform,Silver
980,Great Britain,2008 Summer,Swimming Womens 400 metres Freestyle,Gold
980,Great Britain,2008 Summer,Swimming Womens 800 metres Freestyle,Gold
980,Great Britain,2012 Summer,Swimming Womens 400 metres Freestyle,Bronze
980,Great Britain,2012 Summer,Swimming Womens 800 metres Freestyle,Bronze
1000,Lithuania,2000 Summer,Basketball Mens Basketball,Bronze
1017,United States,2008 Summer,Swimming Mens 4 x 100 metres Freestyle Relay,Gold
