movieId, tilte,rating, year, duration, genre
2152,Dødskysset,,1915,,Drama
2153,The Great Circus Catastrophe,5.7,1912,45,Drama
2156,Eclipse de sol,,1912,,
2157,Der Eid des Stephan Huller,,1912,,
2161,Episódios da Terrível Explosão de Bombas no Porto,,1912,,Documentary
2163,Eva,,1913,,Drama
2165,Excursión a San Lorenzo de Munt,,1912,,
2186,The Flying Circus,6.2,1912,46,Drama
2188,For Freedom of Cuba,,1912,,
2199,From the Manger to the Cross; or Jesus of Nazareth,5.7,1912,60,BiographyDrama
2211,Den glade løjtnant,,1912,,Romance
2220,Grannie,4.1,1912,,
2239,Her Own Money,,1914,,
2242,Herod,,1912,,
2262,Il y a des pieds au plafond,,1912,,
2276,De industrieel van Pont Avesnes,,1912,,
2281,The Invaders,6.1,1912,41,Western
2286,Judith,,1912,,
2301,Leiria,,1912,,Documentary
2305,Life of Villa,7.4,1912,,DocumentaryWar
2315,El lobo de la sierra,,1912,76,
2328,The Lust for Gold,,1912,,
2329,Today and Tomorrow,5.2,1912,,
2333,The Might of Gold,,1912,,
2335,Magda,,1912,,
2337,The Mail Order Wife,,1912,,
2345,Marocco en het Vreemdelingenlegioen,,1912,,
2348,Maskierte Liebe,,1912,,
2361,The Midnight Wedding,,1912,,Drama
2362,The Mighty Dollar,,1912,,
2375,La mort du duc dEnghien,6,1912,,
2395,Le nègre blanc,,1912,,
2405,Oliver Twist,5.2,1912,,Drama
2406,Oliver Twist,5.5,1912,,Drama
2410,Only a Woman,,1912,,
2423,Passion,6.8,1919,85,BiographyDramaRomance
2425,Paul J. Raineys African Hunt,,1912,60,Documentary
2431,La pierre philosophe,5.8,1912,,
2432,Los Pirineos de Port-Bou a Andorra,,1912,58,
2438,The Prodigal Daughter,,1912,,
2439,The Prodigal Son,,1913,,
2444,Quincy Adams Sawyer,,1912,,Comedy
2445,Quo Vadis?,6.2,1913,120,DramaHistory
2446,Race for a Life,,1912,,
2452,The Independence of Romania,6.6,1912,120,HistoryWar
2458,Revolución orozquista,,1912,,
2461,The Life and Death of King Richard III,5.5,1912,55,Drama
2467,Romani the Brigand,,1912,,
2474,Saty delaji cloveka,,1913,,Comedy
2479,Seal Hunting in Newfoundland,,1912,,Documentary
2483,The Sergeants Boy,,1912,,Drama
2491,The Sin of a Woman,,1912,,
2514,Saved in Mid-Air,5.4,1912,60,Drama
2517,Talma,,1912,,
2525,The Tide of Death,,1912,,
2540,Tropisk kærlighed,,1912,,
2555,The Last Bohemian,4.8,1913,,DramaRomance
2556,Vampyrdanserinden,6,1912,,
2559,Verkannt,,1912,,
2572,Wenn die Maske fällt,,1912,,
2588,Zigomar contre Nick Carter,6,1912,48,CrimeThriller
2589,Zona de Incursões em Chaves,,1912,,
2590,Zu Tode gehetzt,,1912,,
2591,Zu spät,,1913,,
2594,Neath Austral Skies,,1913,,
2595,...denn alle Schuld rächt sich auf Erden,,1913,,
2605,The Adventures of Kathlyn,5.4,1913,,Adventure
2624,El amigo del alma,,1913,,
2625,Ana Kadova,,1913,92,
2628,Der Andere,5.7,1913,48,DramaThriller
2637,Arizona,7.2,1913,,Western
2642,The Heir to Skjoldborg,,1914,,Drama
2646,Atlantis,6.6,1913,121,Drama
2648,Old Brandis Eyes,,1913,,Drama
2649,Australia Calls,,1913,,
2660,Barbarous Mexico,,1913,,Documentary
2661,Barcelona bajo la nieve,,1913,,
2665,The Bartered Bride,,1913,,
2669,The Battle of Gettysburg,6.6,1913,48,DramaWar
2670,The Battle of Shiloh,,1913,,DramaWar
2676,El bello Arturo,,1913,,Comedy
2678,Ben Bolt,5.9,1913,40,Adventure
2679,Bianco contro negro,,1913,,
2685,Blodets röst,,1913,89,Drama
2722,Buch i Trøjen,,1913,,
2725,Buried Alive in a Coal Mine,,1913,,Drama
2727,Bøffen og bananen,,1913,,
2735,Le camée,,1913,,
2739,Carmen,2.2,1914,,
2743,El Caín moderno,,1913,48,
2746,Checkers,,1913,,ComedyDrama
2751,A Chopin Nocturne,,1913,,Drama
2763,Corazón de presidiario,,1913,,
2764,Corrida de feria de las fiestas del Pilar,,1913,,
2765,Corrida de toros en Calatayud,,1913,,
2767,The Count of Monte Cristo,5.9,1913,69,DramaHistory
2771,El crimen del otro,,1913,,
2772,The Criminal Path,,1914,,CrimeDrama
2785,La dame de Monsoreau,,1913,,
2790,De muerte a vida,,1913,,
2798,Le dernier pardon,,1913,,Comedy
2799,Desastre do Monoplano Gnome na Amadora,,1913,,Documentary
2801,The Black Diamond,5.1,1913,50,
2820,East Lynne,,1913,69,Drama
2822,What 80 Million Women Want,4.1,1913,56,Drama
2823,Die Eisbraut,,1913,,
2832,Evangeline,6.8,1914,50,Drama
2833,Evinrude,,1914,,CrimeDrama
2844,Fantômas: In the Shadow of the Guillotine,7,1913,54,CrimeDrama
2857,Uma Ferra em Salvaterra de Magos,,1913,,Documentary
2858,Fiestas en Palafrugell,,1913,,
2859,The Fight for Millions,,1913,,Drama
2880,The Four Devils,,1913,,
2883,Les frères ennemis,,1913,,
2885,From Dusk to Dawn,6,1913,90,Drama
2886,La fuerza del destino,,1913,,
2888,Fulano de Tal se enamora de Manón,,1916,,Comedy
2889,The Funny Regiment,,1913,32,Short
2898,Germinal; or The Toll of Labor,6.9,1913,150,Drama
2901,The Girl of the Sunny South,,1913,,Drama
2909,The Grand Military Parade,,1913,,
2916,Die große Sünderin,,1914,,
2917,Brother Against Brother,5.7,1913,51,Drama
2922,Hamlet,5.1,1913,64,Drama
2928,Hasard,,1913,,
2953,Herrerín y Ballesteros en Alagón,,1913,,
2958,El hijo del mar,,1913,,
2973,Dr. Mawson in the Antarctic,5.6,1913,68,Documentary
2975,Lhomme qui assassina,,1913,,
2977,Za chest russkogo znameni,,1913,,Drama
2978,Hoodman Blind,,1913,,Drama
2987,How Fine How Fresh the Roses Were,,1913,,Romance
2996,My Husbands Getting Married,3.6,1913,,Comedy
3002,The Firefly,6,1913,,Drama
3006,In the Bishops Carriage,6.3,1913,50,CrimeDrama
3008,In the Stretch,,1913,,Drama
3010,Incendio en el barrio de Montemolín Zaragoza,,1913,,
3014,Ingeborg Holm,7.1,1913,96,Drama
3015,Die Insel der Seligen,4.5,1913,49,ComedyFantasy
3022,Ivanhoe,5.6,1913,53,AdventureDramaRomance
3024,Jack Londons Adventures in the South Sea Islands,,1913,,Documentary
3037,Fantomas: The Man in Black,7,1913,61,CrimeDrama
3039,The Keys to Happiness,,1913,,Drama
3042,Kleiner Svend und seine Mutter,,1913,,Drama
3048,A Lady of Quality,,1913,,Drama
3051,Die Landstraße,,1913,,
3053,Laura y sus pretendientes,,1913,,
3056,Leah Kleschna,,1913,,CrimeDrama
3058,The Legend of Provence,,1913,,Drama
3069,Lille Klaus og store Klaus,,1913,,Comedy
3070,The Lipton Cup: Introducing Sir Thomas Lipton,,1913,,DramaSport
3076,Livets konflikter,,1913,64,Drama
3084,The Lotus Dancer,,1913,,Drama
3098,The Lure of New York,,1913,,Drama
3100,La luz que vuelve,,1913,,
3102,Love Everlasting,6.2,1914,90,Drama
3108,Macbeth,,1913,50,CrimeDrama
3113,Mala raza,,1913,101,
3116,The Man from the Golden West,,1913,,Western
3124,Los marinos de papel,,1913,,
3131,War Is Hell,6.5,1914,50,DramaWar
3133,De medeminaars,5.6,1913,,
3139,Mexican War Pictures,,1913,,Documentary
3140,Mexican War Pictures,,1913,,Documentary
3143,Mijntje en Trijntje,,1913,,
3150,Miraklet,,1913,100,Drama
3159,Les Misérables Part 2: Fantine,5.9,1913,300,Drama
3160,El modelo de virtudes,,1913,,
3165,Fantômas: The Dead Man Who Killed,7,1913,90,CrimeDramaMystery
3167,Home Sweet Home,5.8,1914,55,Drama
3171,Moths,,1913,,Drama
3218,Novillada de beneficencia en Zaragoza,,1913,,
3227,The Girl from Abroad; or The Great Underworld,,1913,54,Drama
3230,The Old Armchair,,1913,,
3240,On the Steps of the Throne,,1913,,
3241,One Hundred Years of Mormonism,5.1,1913,90,DramaHistory
3243,The Orphan,,1913,,
3267,The Pendleton Oregon Round-Up,,1913,,Documentary
3287,Pommy Arrives in Australia,,1913,,Comedy
3289,The Port of Doom,,1913,,Drama
3294,Primera comunión de las alumnas de las Escuelas Pías,,1913,,
3298,A Princess of Bagdad,,1913,,DramaFantasy
3299,A Prisoner in the Harem,,1913,,Drama
3301,The Prisoner of Zenda,6,1913,,Adventure
3305,The Secret of the Well,,1914,,
3306,På livets ödesvägar,,1913,57,Drama
3309,Captive Souls,4.8,1914,99,
3316,The Rattlesnake,6.9,1913,56,Western
