movieId, title,rating, year, duration, genre
0002109,The Colonels Son,0,1912,,
0002112,Concurso Hípico no Porto,0,1912,,Documentary
0002115,La conspiration des drapeaux,0,1912,,
0002119,The Crime and the Criminal,0,1912,,
0002130,Dantes Inferno,0,1911,71,AdventureDramaFantasy
0002131,A Dança dos Apaches,0,1912,,
0002140,Do Men Love Women?,0,1912,,
0002152,Dødskysset,0,1915,,Drama
0002153,The Great Circus Catastrophe,0,1912,45,Drama
0002156,Eclipse de sol,0,1912,,
0002157,Der Eid des Stephan Huller,0,1912,,
0002161,Episódios da Terrível Explosão de Bombas no Porto,0,1912,,Documentary
0002163,Eva,0,1913,,Drama
0002165,Excursión a San Lorenzo de Munt,0,1912,,
0002186,The Flying Circus,0,1912,46,Drama
0002188,For Freedom of Cuba,0,1912,,
0002199,From the Manger to the Cross; or Jesus of Nazareth,0,1912,60,BiographyDrama
0002211,Den glade løjtnant,0,1912,,Romance
0002220,Grannie,0,1912,,
0002239,Her Own Money,0,1914,,
0002242,Herod,0,1912,,
0002262,Il y a des pieds au plafond,0,1912,,
0002276,De industrieel van Pont Avesnes,0,1912,,
0002281,The Invaders,0,1912,41,Western
0002286,Judith,0,1912,,
0002301,Leiria,0,1912,,Documentary
0002305,Life of Villa,0,1912,,DocumentaryWar
0002315,El lobo de la sierra,0,1912,76,
0002328,The Lust for Gold,0,1912,,
0002329,Today and Tomorrow,0,1912,,
0002333,The Might of Gold,0,1912,,
0002335,Magda,0,1912,,
0002337,The Mail Order Wife,0,1912,,
0002345,Marocco en het Vreemdelingenlegioen,0,1912,,
0002348,Maskierte Liebe,0,1912,,
0002361,The Midnight Wedding,0,1912,,Drama
0002362,The Mighty Dollar,0,1912,,
0002375,La mort du duc dEnghien,0,1912,,
0002395,Le nègre blanc,0,1912,,
0002405,Oliver Twist,0,1912,,Drama
0002406,Oliver Twist,0,1912,,Drama
0002410,Only a Woman,0,1912,,
0002423,Passion,0,1919,85,BiographyDramaRomance
0002425,Paul J. Raineys African Hunt,0,1912,60,Documentary
0002431,La pierre philosophe,0,1912,,
0002432,Los Pirineos de Port-Bou a Andorra,0,1912,58,
0002438,The Prodigal Daughter,0,1912,,
0002439,The Prodigal Son,0,1913,,
0002444,Quincy Adams Sawyer,0,1912,,Comedy
0002445,Quo Vadis?,0,1913,120,DramaHistory
0002446,Race for a Life,0,1912,,
0002452,The Independence of Romania,0,1912,120,HistoryWar
0002458,Revolución orozquista,0,1912,,
0002461,The Life and Death of King Richard III,0,1912,55,Drama
0002467,Romani the Brigand,0,1912,,
0002474,Saty delaji cloveka,0,1913,,Comedy
0002479,Seal Hunting in Newfoundland,0,1912,,Documentary
0002483,The Sergeants Boy,0,1912,,Drama
0002491,The Sin of a Woman,0,1912,,
0002514,Saved in Mid-Air,0,1912,60,Drama
0002517,Talma,0,1912,,
0002525,The Tide of Death,0,1912,,
0002540,Tropisk kærlighed,0,1912,,
0002555,The Last Bohemian,0,1913,,DramaRomance
0002556,Vampyrdanserinden,0,1912,,
0002559,Verkannt,0,1912,,
0002572,Wenn die Maske fällt,0,1912,,
0002588,Zigomar contre Nick Carter,0,1912,48,CrimeThriller
0002589,Zona de Incursões em Chaves,0,1912,,
0002590,Zu Tode gehetzt,0,1912,,
0002591,Zu spät,0,1913,,
0002594,Neath Austral Skies,0,1913,,
0002595,...denn alle Schuld rächt sich auf Erden,0,1913,,
0002605,The Adventures of Kathlyn,0,1913,,Adventure
0002624,El amigo del alma,0,1913,,
0002625,Ana Kadova,0,1913,92,
0002628,Der Andere,0,1913,48,DramaThriller
0002637,Arizona,0,1913,,Western
0002642,The Heir to Skjoldborg,0,1914,,Drama
0002646,Atlantis,0,1913,121,Drama
0002648,Old Brandis Eyes,0,1913,,Drama
0002649,Australia Calls,0,1913,,
0002660,Barbarous Mexico,0,1913,,Documentary
0002661,Barcelona bajo la nieve,0,1913,,
0002665,The Bartered Bride,0,1913,,
0002669,The Battle of Gettysburg,0,1913,48,DramaWar
0002670,The Battle of Shiloh,0,1913,,DramaWar
0002676,El bello Arturo,0,1913,,Comedy
0002678,Ben Bolt,0,1913,40,Adventure
0002679,Bianco contro negro,0,1913,,
0002685,Blodets röst,0,1913,89,Drama
0002722,Buch i Trøjen,0,1913,,
0002725,Buried Alive in a Coal Mine,0,1913,,Drama
0002727,Bøffen og bananen,0,1913,,
0002735,Le camée,0,1913,,
0002739,Carmen,0,1914,,
0002743,El Caín moderno,0,1913,48,
0002746,Checkers,0,1913,,ComedyDrama
0002751,A Chopin Nocturne,0,1913,,Drama
0002763,Corazón de presidiario,0,1913,,
